,number,ruleID,attribute_426,attribute_427,attribute_428,attribute_429,attribute_430,attribute_431,attribute_432,attribute_433,attribute_434,attribute_435,attribute_436,attribute_437,attribute_438,attribute_439,attribute_440,attribute_441,attribute_442,attribute_443,attribute_444,attribute_445,attribute_446,attribute_447,attribute_448,attribute_449,attribute_450,attribute_451,attribute_452,attribute_453,attribute_454,attribute_455,attribute_456,attribute_457,attribute_458,attribute_459
116,117.0,1994.0,,,,,,,,,,,,,4.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,1.0,7.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
117,118.0,1995.0,,,,,,,,,,,,,4.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,7.0,6.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
118,119.0,1996.0,,,,,,,,,,,,,4.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,6.0,8.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
119,120.0,1997.0,,,,,,,,,,,,,4.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,4.0,1.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
120,121.0,1998.0,,,,,,,,,,,,,4.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,5.0,1.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
121,122.0,1999.0,,,,,,,,,,,,,4.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,2.0,1.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
122,123.0,2000.0,,,,,,,,,,,,,4.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,0.0,1.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
123,124.0,2001.0,,,,,,,,,,,,,4.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,0.0,1.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
124,125.0,2002.0,,,,,,,,,,,,,2.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,1.0,7.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
125,126.0,2003.0,,,,,,,,,,,,,0.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,1.0,7.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
126,127.0,2004.0,,,,,,,,,,,,,5.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,1.0,7.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
127,128.0,2005.0,,,,,,,,,,,,,2.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,1.0,7.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
128,129.0,2006.0,,,,,,,,,,,,,0.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,1.0,7.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
129,130.0,2007.0,,,,,,,,,,,,,5.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,7.0,6.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
130,131.0,2008.0,,,,,,,,,,,,,2.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,7.0,6.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
131,132.0,2009.0,,,,,,,,,,,,,0.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,7.0,6.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
132,133.0,2010.0,,,,,,,,,,,,,5.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,6.0,8.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
133,134.0,2011.0,,,,,,,,,,,,,2.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,6.0,8.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
134,135.0,2012.0,,,,,,,,,,,,,0.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,6.0,8.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
135,136.0,2013.0,,,,,,,,,,,,,5.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,4.0,1.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
136,137.0,2014.0,,,,,,,,,,,,,2.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,4.0,1.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
